feature,importance,importance_abs,description
rtl_trd__tu_binned,-0.02298213186348698,0.02298213186348698,Number of retail trades
ENG-bk_binned,-0.0225182588302999,0.0225182588302999,
cv15__tu_binned,-0.014534344443685334,0.014534344443685334,Number of deduped auto inquiries
trv01__tu_binned,-0.014413572101174896,0.014413572101174896,Number of months since overlimit on a bankcard
g232s__tu_binned,-0.013422675817219837,0.013422675817219837,Number of inquiries (includes duplicates)
derogseverityindex__ln_binned,-0.012745405841561839,0.012745405841561839,Index indicating severity of derogatory records on subject's file
g095s__tu_binned,-0.011577746134940952,0.011577746134940952,Months since most recent public record
balmag01__tu_binned,-0.009356066759923226,0.009356066759923226,Non-mortgage balance magnitude algorithm over last 24 months
inquiryshortterm12month__ln_binned,-0.007914776588347884,0.007914776588347884,Indicates subject has one or more LexisNexis personal finance credit inquiries on file in the last 12 months (multiple personal finance inquiries within a 24-hour period are counted as one inquiry)
all235__tu_binned,-0.007821984882317681,0.007821984882317681,Aggregate Excess Payment for All accounts over the past 24 months
cv13__tu_binned,-0.007612985309650746,0.007612985309650746,Percentage of trades ever delinquent
g251c__tu_binned,0.00739656363287441,0.00739656363287441,Number of 60 days past due or worse items in the past 24 months (excluding medical collection items)
addronfilecount__ln_binned,-0.007255323926343359,0.007255323926343359,Total number of addresses found on file in subject's address history
ENG-wtd_avg_binned,-0.006700877822222276,0.006700877822222276,
s068b__tu_binned,0.006452561947650554,0.006452561947650554,Number of non-medical third party collections
rev322__tu_binned,-0.006346548769748193,0.006346548769748193,Min Total Open-to-Buy for Revolving accounts over the past 6 months
inquirynonshortterm12month__ln_binned,-0.006006131458329912,0.006006131458329912,"Indicates subject has one or more LexisNexis credit inquiries on file in the last 12 months, excluding personal finance credit and collection inquiries
NOTE: This attribute indicates the subject has any LexisNexis credit inquiry on file, excluding any short-term or collection inquiries. This will include auto, banking, and telecom inquiries returned in other attributes as well as other credit-related inquiries not categorically classified in the attributes."
s209a__tu_binned,0.004288496292375751,0.004288496292375751,Months since most recent non-medical third party collection
g002s__tu_binned,-0.003653584784750745,0.003653584784750745,Number of 60 days past due ratings in past 12 months
linkt003__tu_binned,-0.0036325092358149695,0.0036325092358149695,Number of non-military non-corroborated addresses in past 12 months
g407s__tu_binned,-0.003565632606630974,0.003565632606630974,Number of deduped finance inquiries
miles_odometer__app_binned,0.003092348155196807,0.003092348155196807,
inquirybanking12month__ln_binned,-0.002160337132729017,0.002160337132729017,Indicates subject has one or more LexisNexis banking credit inquiries on file in the last 12 months
addrprevioustimenewest__ln_binned,-0.0020501872376251177,0.0020501872376251177,Time (in months) since the subject was most recently reported at the most previous address on subject's file
au20s__tu_binned,-0.002047232569029776,0.002047232569029776,Months since oldest auto trade opened
rp01s__tu_binned,-0.0019380315887474007,0.0019380315887474007,Number of repossession trades
ENG-loan_to_value_binned,0.0016427819688744692,0.0016427819688744692,
fi36s__tu_binned,-0.0015915450796240003,0.0015915450796240003,Months since most recent finance installment delinquency
in21s__tu_binned,0.0014371149823728061,0.0014371149823728061,Months since most recent installment trade opened
linka053__tu_binned,-0.001393895623967548,0.001393895623967548,Number of days since the first (oldest) checking account inquiry
linka006__tu_binned,-0.0012812986710391938,0.0012812986710391938,"Number of total inquiries in the last 3 years.  
These include checking, credit issuance (credit card, secured card, line of credit, revolving credit, and other credit account originations) , auto, payday, utility, and other credit (installment loan, secured loan, short-term installment loan, insurance, and other non-classified credit)"
bc97a__tu_binned,-0.0010664572421124018,0.0010664572421124018,Total open to buy of open credit cards verified in past 3 months
in34s__tu_binned,-0.0009709235859593748,0.0009709235859593748,Utilization for open installment trades verified in past 12 months
fi25s__tu_binned,-0.000318406038629745,0.000318406038629745,Number of currently open and satisfactory finance installment trades 12 months or older
addrinputsubjectcount__ln_binned,-0.0002295952238794336,0.0002295952238794336,"Total number of unique subjects on file currently reported at the input address, if the address has been designated as a single family dwelling unit"
fi101s__tu_binned,-0.00013104249584439633,0.00013104249584439633,Total balance of all finance installment trades verified in past 12 months
fltgrossmonthly__income_sum_binned,-5.522472589863238e-05,5.522472589863238e-05,
subjectabilityindex__ln_binned,-4.441647150013343e-05,4.441647150013343e-05,"Modeled risk index indicating the subject's ability to fulfill a credit obligation on the basis of their time on file, post-secondary education history, asset ownership, and outstanding financial obligations on file"
