feature,AD,PD,LGD,Sum,Eng,App,description
inquiryshortterm12month__ln,1,1,1,3,0,0,Indicates subject has one or more LexisNexis personal finance credit inquiries on file in the last 12 months (multiple personal finance inquiries within a 24-hour period are counted as one inquiry)
g058s__tu,1,1,1,3,0,0,Number of trades 30 or more days past due in past 6 months
rev234__tu,1,1,1,3,0,0,Aggregate Excess Payment for Revolving accounts over the past 12 months
mt25s__tu,1,1,1,3,0,0,Number of currently open and satisfactory mortgage trades 12 months or older
linkf210__tu,1,1,1,3,0,0,Total Bad ACH events
at104s__tu,1,1,1,3,0,0,Percentage of all trades opened in past 24 months to all trades
se34s__tu,1,1,1,3,0,0,Utilization for open secured installment trades verified in past 12 months
br06s__tu,1,1,1,3,0,0,Number of bank revolving trades opened in past 6 months
criminalnonfelonycount12month__ln,1,1,1,3,0,0,"Total non-felony criminal convictions in the last 12 months on subject's file
NOTE: This attribute does not include sexual offender registry records"
rp07s__tu,1,1,1,3,0,0,Total balance of repossession trades in past 24 months
all235__tu,1,1,1,3,0,0,Aggregate Excess Payment for All accounts over the past 24 months
at35a__tu,1,1,1,3,0,0,Average balance of open trades verified in past 12 months
linkf137__tu,1,1,1,3,0,0,Number of distinct bank accounts within last 12 months
bkc54__tu,1,1,1,3,0,0,Number of Bankcard trades utilized more than 90% in the past 12 months
linka043__tu,1,1,1,3,0,0,Number of checking account closures for cause in the last 2 months
bc20s__tu,1,1,1,3,0,0,Months since oldest credit card trade opened
linkf061__tu,1,1,1,3,0,0,"Number of closed delinquent, return and collection trade segments within last 12 months STOREFRONT LENDER"
cv25__tu,1,1,1,3,0,0,Percent of trades from inactive to active status in the past 12 months
g057s__tu,1,1,1,3,0,0,Number of trades 30 or more days past due in past 3 months
at28a__tu,1,1,1,3,0,0,Total credit line of open trades verified in past 12 months
se09s__tu,1,1,1,3,0,0,Number of secured installment trades opened in past 24 months
cv04__tu,1,1,1,3,0,0,Months since most recent third party collection occurrence
au36s__tu,1,1,1,3,0,0,Months since most recent auto delinquency
ret328__tu,1,1,1,3,0,0,Average Total Open-to-Buy for Retail accounts over the past 24 months
g406s__tu,1,1,1,3,0,0,Number of deduped finance inquiries in past 12 months
revs902__tu,1,1,1,3,0,0,Aggregate Revolving Monthly Spend over last 6 Months
std204__tu,1,1,1,3,0,0,Total Payment Ratio for Student Loan accounts over the past 12 months
g405s__tu,1,1,1,3,0,0,Number of deduped finance inquiries in past 6 months
lm02s__tu,1,1,1,3,0,0,Months since oldest loan modification on a mortgage trade
std202__tu,1,1,1,3,0,0,Total Payment Ratio for Student Loan accounts over the past 3 months
linkf164__tu,1,1,1,3,0,0,Number of distinct home phone within last 12 months
at01s__tu,1,1,1,3,0,0,Number of trades
rev132__tu,1,1,1,3,0,0,Number of months in the past 12 months where percentage of Revolving trades utilized more than 25% was more than 90%
g301s__tu,1,1,1,3,0,0,Worst rating on credit card trades
at34a__tu,1,1,1,3,0,0,Utilization for open trades verified in past 12 months
fi27s__tu,1,1,1,3,0,0,Number of currently open and satisfactory finance installment trades 24 months or older
linka030__tu,1,1,1,3,0,0,Number of days since most recent checking account inquiry
std225__tu,1,1,1,3,0,0,Average total Payment Ratio for Student Loan accounts over the past 24 months
co04s__tu,1,1,1,3,0,0,Months since most recent charged-off trade reported
rev328__tu,1,1,1,3,0,0,Average Total Open-to-Buy for Revolving accounts over the past 24 months
inputprovidedstreetaddress__ln,1,1,1,3,0,0,Indicates if the street address for the subject was provided on input
br20s__tu,1,1,1,3,0,0,Months since oldest bank revolving trade opened
s207a__tu,1,1,1,3,0,0,Months since most recent tradeline bankruptcy
std224__tu,1,1,1,3,0,0,Average total Payment Ratio for Student Loan accounts over the past 12 months
revs905__tu,1,1,1,3,0,0,Months since max. revolving monthly spend over last 12 months
rle905__tu,1,1,1,3,0,0,Amount of over-payments on Real-Estate accounts in the past 12 months
at34b__tu,1,1,1,3,0,0,Utilization for open trades verified in past 12 months (excluding mortgage and home equity)
linkf098__tu,1,1,1,3,0,0,Number of satisfactory trades
linka020__tu,1,1,1,3,0,0,"Number of credit inquiries in the last 3 years.  
These include credit issuance (credit card, secured card, line of credit, revolving credit, and other credit account originations) , auto, payday, utility, and other credit (installment loan, secured loan, short-term installment loan, insurance, and other non-classified credit)"
g051s__tu,1,1,1,3,0,0,Percentage of trades ever delinquent
linkf212__tu,1,1,1,3,0,0,Total Bad ACH amount
addrinputownershipindex__ln,1,1,1,3,0,0,Index indicating subject's ownership level at the input address based on the address property record on file
fltadvance__app,1,1,1,3,0,1,Advance
bitgap__app,1,1,1,3,0,1,Gap tag
subjectactivityindex12month__ln,1,1,1,3,0,0,A risk index summarizing derogatory and non-derogatory source activity for the subject as reported on file within the past 12 months
s209s__tu,1,1,1,3,0,0,Months since most recent third party collection
re20s__tu,1,1,1,3,0,0,Months since oldest revolving trade opened
vehiclemake__app,1,1,1,3,0,1,Vehicle make
linkf089__tu,1,1,1,3,0,0,Number of inquiries within last 18 months
linkt004__tu,1,1,1,3,0,0,Number of non-military non-corroborated addresses in last 5 years
addrinputcountyratio__ln,1,1,1,3,0,0,Ratio comparison of the input address property value to county median property value on file
addrinputmatchindex__ln,1,1,1,3,0,0,Index indicating if the input address matches the current or historical address on file
intopenbktype__app,1,1,1,3,0,1,BK Type
rp06s__tu,1,1,1,3,0,0,Total balance of repossession trades in past 12 months
linkf108__tu,1,1,1,3,0,0,Number of lenders / locations with inquiries within last 1 month
rt36s__tu,1,1,1,3,0,0,Months since most recent retail delinquency
linkf004__tu,1,1,1,3,0,0,Number of NSF within last 24 months
g414s__tu,1,1,1,3,0,0,Number of deduped auto inquiries in past 12 months
linkf133__tu,1,1,1,3,0,0,Average balance of open trades (including collection)
re06s__tu,1,1,1,3,0,0,Number of revolving trades opened in past 6 months
