feature,pricing_pd__model6,pricing_lgd__model6,pricing_pd__model3,pricing_lgd__model3,pricing_pd__model4,pricing_lgd__model4,pricing_pd__model5,pricing_lgd__model5,pricing_pd__noPTImodel7,pricing_lgd__noPTImodel7,pricing_pd__maybePTImodel7,pricing_lgd__maybePTImodel7,pricing_pd__yesPTImodel7,pricing_lgd__yesPTImodel7,eng,app,ln,tu,sum,description
sourcenonderogcount03month__ln,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,1,0,8.0,Total non-derogatory source types on file for subject reported within the last three months
rp03s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Number of repossession trades in past 24 months
g220d__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Number of credit card trades verified in the past 12 months that are currently 90 days or more past due
bc97b__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Total open to buy of closed credit cards verified in past 3 months
au27s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Number of currently open and satisfactory auto trades 24 months or older
g242s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Number of inquiries (includes duplicates) in past 3 months
std203__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Total Payment Ratio for Student Loan accounts over the past 6 months
linka029__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of checking account inquiries in the last 3 years
cv02__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Months since most recent foreclosure occurrence
mt20s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Months since oldest mortgage trade opened
g219d__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Number of credit card trades verified in the past 12 months that are currently 60 days or more past due
at20s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Months since oldest trade opened
s114s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of deduped inquiries in past 6 months (excluding auto and mortgage inquiries)
agg902__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Number of aggregate non-mortgage balance decreases over last 3 months
g212s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of charged-off trades opened in past 24 months
fi31s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Percentage of open finance installment trades > 75% of credit line verified in past 12 months
linkf084__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Number of inquiries within last 2 months
rev202__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Total Payment Ratio for Revolving accounts over the past 3 months
g226s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of 60 or more days past due trades (current MOP only) with balance > $0 opened in past 12 months
au207s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Number of auto charged-off trades
ret84__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Months since a Retail trade last exceeded 90% utilization
linka001__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Number of checking account inquiries in the last 3 months
balmag01__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Non-mortgage balance magnitude algorithm over last 24 months
addronfilecount__ln,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,8.0,Total number of addresses found on file in subject's address history
au34s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Utilization for open auto trades verified in past 12 months
au01s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of auto trades
fi36s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Months since most recent finance installment delinquency
cv14__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of deduped inquiries
g305s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Worst rating on installment trades
g213a__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Highest balance of third party collections verified in 24 months
aut225__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Average total Payment Ratio for Auto accounts over the past 24 months
g020s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of trades with maximum delinquency of 30 days past due in past 24 months
strname__app,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0,0,8.0,State
linka004__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of bank account closures identified as fraudulent
au51a__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Terms in months of most recent auto trade
fi20s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Months since oldest finance installment trade opened
at21s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Months since most recent trade opened
linkf087__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Number of inquiries within last 9 months
g250c__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Number of 30 days past due or worse items in the past 24 months (excluding medical collection items)
bkc321__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Min Total Open-to-Buy for Bankcard accounts over the past 3 months
bkc322__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Min Total Open-to-Buy for Bankcard accounts over the past 6 months
addrinputtimenewest__ln,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,8.0,Time on file (in months) since the subject was most recently reported at the input address
g217s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Total past due amount of all trades verified in past 12 months
bankruptcystatus__ln,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,8.0,Indicates status of most recent bankruptcy filing on file showing the subject as debtor
linka006__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,"Number of total inquiries in the last 3 years.  
These include checking, credit issuance (credit card, secured card, line of credit, revolving credit, and other credit account originations) , auto, payday, utility, and other credit (installment loan, secured loan, short-term installment loan, insurance, and other non-classified credit)"
au20s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Months since oldest auto trade opened
paymnt11__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of payments in last 12 months
s204a__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Total balance of non-medical third party collections verified in past 12 months
g250b__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Number of 30 days past due or worse items in the past 12 months (excluding medical collection items)
linkt010__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of public record bankruptcies 
cv26__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Percent of trades from active to inactive status in the past 12 months
g960s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of deduped inquiries
aut205__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Total Payment Ratio for Auto accounts over the past 24 months
linka066__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Total amount of open (unpaid) non-sufficient funds in the last 3 years
addrinputdeedmailing__ln,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,8.0,Indicates for the input address that the property owner's mailing address is the same as the property address for the property record on file
co06s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Total balance of trades that charged-off in the past 12 months
linka009__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of days since most recent check order
linkf146__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Number of distinct cell phones within last 12 months
subjectstabilityprimaryfactor__ln,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,8.0,Indicates the primary factor behind the value returned for the SubjectStabilityIndex attribute
of34s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Utilization for open credit union trades verified in past 12 months
aut201__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Total Payment Ratio for Auto accounts over the past 1 month
linka046__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of checking account closures for cause in the last 2 years
linka052__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of checking account inquiries in the last 2 years
paymnt01__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Number of prepayments on installment loans last 3 months
in36s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Months since most recent installment delinquency
addrinputmatchindex__ln,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,8.0,Index indicating if the input address matches the current or historical address on file
us06s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Number of unsecured installment trades opened in past 6 months
g215b__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Number of non-medical third party collections with balance > $0
bc97a__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Total open to buy of open credit cards verified in past 3 months
g230s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of 60 or more days past due trades (current MOP only) with balance > $0 opened in past 24 months
linka014__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of unpaid checking account closures for cause in the last 5 years
au21s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Months since most recent auto trade opened
confirmationinputaddress__ln,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,8.0,Indicates input address is confirmed by records on file
trv01__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of months since overlimit on a bankcard
agg909__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Months since max aggregate bankcard balance over last 12 months
fi24s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of currently open and satisfactory finance installment trades 6 months or older
std225__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Average total Payment Ratio for Student Loan accounts over the past 24 months
inputprovidedstreetaddress__ln,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,8.0,Indicates if the street address for the subject was provided on input
addrinputownershipindex__ln,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,8.0,Index indicating subject's ownership level at the input address based on the address property record on file
linkf140__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Number of distinct bank accounts within last 24 months
jt01s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of joint trades
linkf061__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,"Number of closed delinquent, return and collection trade segments within last 12 months STOREFRONT LENDER"
linka049__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Number of checking account inquiries in the last 2 months
linkf204__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Total Bad ACH amount in last 3 Months
linkf098__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of satisfactory trades
linkf043__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0,0,0,1,8.0,Number of trades opened within last 12 months ONLINE LENDER
s207a__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Months since most recent tradeline bankruptcy
of21s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0,0,0,1,8.0,Months since most recent credit union trade opened
linka085__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Maximum days taken to pay a non-sufficient funds
br20s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Months since oldest bank revolving trade opened
linkf156__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of distinct email addresses within last 18 months
cv24__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Total payment amount of bankcard trades verified in past 3 months
co05s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Total balance of trades that charged-off
g099s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of public record bankruptcies in past 24 months
linka039__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of days since first (oldest) check order
aut202__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Total Payment Ratio for Auto accounts over the past 3 months
st101s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Total balance of all student loan trades verified in past 12 months
ENG-dealership_age,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0,0,8.0,Dealership age
fi09s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of finance installment trades opened in past 24 months
std224__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Average total Payment Ratio for Student Loan accounts over the past 12 months
jt75s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of joint trades 30 days past due or worse in the last 12 months
linkf053__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of inquiries all time STOREFRONT LENDER
at103s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Percentage of satisfactory open trades to all open trades verified in 24 months
linka081__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of days since last (most recent) paid non-sufficient funds
vehiclemake__app,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0,0,8.0,Vehicle make
linkf151__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Number of distinct cell phones within last 3 months
linkf006__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Number of NSF within last 6 months
linkf015__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Number of NSF within last 7 years
all235__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Aggregate Excess Payment for All accounts over the past 24 months
of36s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Months since most recent credit union delinquency
linkf171__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Number of distinct home phones within last 9 months
rvdexq3__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Q3 (Jul - Sep) revolving spend indexed to revolving annual spend
at27s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of currently open and satisfactory trades 24 months or older
re20s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Months since oldest revolving trade opened
linkf133__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Average balance of open trades (including collection)
addrinputcountyratio__ln,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,8.0,Ratio comparison of the input address property value to county median property value on file
rev14__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Number of instances where a Revolving trade was utilized more than 90% in the past 12 months
linkt004__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of non-military non-corroborated addresses in last 5 years
linkf037__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Number of inquiries within last 3 months ONLINE LENDER
trv18__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Number of months bankcard credit limit increases last 12 months
st35s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Average balance of open student loan trades verified in past 12 months
linka031__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Number of open (unpaid) non-sufficient funds in the last 3 years
at01a__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Number of authorized user trades
at01s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Number of trades
bc108s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Number of 90 or more days past due ratings on credit card trades
linkf165__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Number of distinct home phones within last 18 months
rt21s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Months since most recent retail trade opened
at35a__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Average balance of open trades verified in past 12 months
lienjudgmenttaxcount__ln,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,1,0,8.0,"Total federal, state, and county tax liens on subject's file"
linka015__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Number of checking account closures for cause in the last 6 months
std202__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Total Payment Ratio for Student Loan accounts over the past 3 months
g051s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Percentage of trades ever delinquent
intopenbktype__app,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0,0,8.0,BK Type
addrinputdelivery__ln,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,1,0,8.0,Indicates the mail delivery status on file for the input address
bitgap__app,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0,0,8.0,Gap tag
linkf155__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0,0,0,1,8.0,Number of distinct email addresses within last 12 months
criminalnonfelonycount12month__ln,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,1,0,8.0,"Total non-felony criminal convictions in the last 12 months on subject's file
NOTE: This attribute does not include sexual offender registry records"
g406s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Number of deduped finance inquiries in past 12 months
bitdealerapplicantsamezip__app,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0,0,8.0,Applicant and Dealer Same Zip
cv04__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Months since most recent third party collection occurrence
g102s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Months since most recent inquiry
g094s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of public record bankruptcies
aut222__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Average total Payment Ratio for Auto accounts over the past 3 months
in27s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of currently open and satisfactory installment trades 24 months or older
linka024__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,"Number of days since oldest credit issuance inquiry (credit card, secured card, line of credit, revolving credit, and other credit account originations) "
of28s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Total credit line of open credit union trades verified in past 12 months
ret83__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Months since a Retail trade last exceeded 75% utilization
rvdex02__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Most recent quarter year-over-year revolving spend index
rle905__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Amount of over-payments on Real-Estate accounts in the past 12 months
addrinputphonecount__ln,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,8.0,Total number of unique phone service listings on file currently reported with the input address
linka076__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Total amount of paid non-sufficient funds in the last 6 months
