feature,flt_eval_metric_train,flt_eval_metric_valid,flt_score_to_beat,performance,helped,description
linka013__tu,0.6876705030645278,0.6957816099771645,0.7028798281664307,-0.0070982181892661,0,Total dollar amount of unpaid checking account closures for cause in the last 4 years
linkf204__tu,0.6816711101778024,0.695896124922966,0.7028798281664307,-0.0069837032434646,0,Total Bad ACH amount in last 3 Months
linkf076__tu,0.6963765654813225,0.6962138226513154,0.7028798281664307,-0.0066660055151153,0,"Total dollar amount of return, collection, and closed delinquent trade segments within last 12 months"
bc108s__tu,0.6861795477623005,0.6965654974247425,0.7028798281664307,-0.0063143307416881,0,Number of 90 or more days past due ratings on credit card trades
std205__tu,0.6838463179359258,0.6968513967360522,0.7028798281664307,-0.0060284314303784,0,Total Payment Ratio for Student Loan accounts over the past 24 months
fi24s__tu,0.6916570599933023,0.6972184444555618,0.7028798281664307,-0.0056613837108688,0,Number of currently open and satisfactory finance installment trades 6 months or older
g407s__tu,0.692125125248443,0.697270480697449,0.7028798281664307,-0.0056093474689816,0,Number of deduped finance inquiries
assetpropnewestsaleprice__ln,0.6886352174595538,0.697281814428558,0.7028798281664307,-0.0055980137378727,0,Subject's most recent real property sale price based on real property ownership records on file
linkf167__tu,0.6864508679066829,0.6973758225436203,0.7028798281664307,-0.0055040056228103,0,Number of distinct home phones within last 24 months
trv09__tu,0.6864508679066829,0.6973758225436203,0.7028798281664307,-0.0055040056228103,0,Number of non-mortgage balance decreases YOY
linkf140__tu,0.6842269065313286,0.6974238734965292,0.7028798281664307,-0.0054559546699014,0,Number of distinct bank accounts within last 24 months
br21s__tu,0.6912689764456643,0.6975448098515163,0.7028798281664307,-0.0053350183149143,0,Months since most recent bank revolving trade opened
linkf143__tu,0.6926992651142154,0.6977481205586501,0.7028798281664307,-0.0051317076077805,0,Number of distinct bank accounts within last 6 months
s114s__tu,0.6884540649834966,0.697845274492622,0.7028798281664307,-0.0050345536738086,0,Number of deduped inquiries in past 6 months (excluding auto and mortgage inquiries)
trv04__tu,0.6921624554613547,0.6978485559161777,0.7028798281664307,-0.005031272250253,0,Number of non-mortgage balance increases last 3 months
agg910__tu,0.6882391079701344,0.6978646048603997,0.7028798281664307,-0.0050152233060309,0,Max aggregate bankcard utilization over last 3 months
co06s__tu,0.6865245788035869,0.697936732713052,0.7028798281664307,-0.0049430954533786,0,Total balance of trades that charged-off in the past 12 months
linkf152__tu,0.693404152189284,0.6980518004958276,0.7028798281664307,-0.004828027670603,0,Number of distinct cell phones within last 6 months
au203s__tu,0.693404152189284,0.6980518004958276,0.7028798281664307,-0.004828027670603,0,Number of auto trades that are 60 days or more past due in the past 12 months
cv19__tu,0.6929400193385318,0.6980532278407572,0.7028798281664307,-0.0048266003256735,0,Total balance of trades verified in past 3 months
addrinputsubjectcount__ln,0.6916051167584482,0.6981338935132296,0.7028798281664307,-0.004745934653201,0,"Total number of unique subjects on file currently reported at the input address, if the address has been designated as a single family dwelling unit"
linkf144__tu,0.6911231058829577,0.6982414637613616,0.7028798281664307,-0.004638364405069,0,Number of distinct bank accounts within last 9 months
linkf172__tu,0.68962765760951,0.6984404727432034,0.7028798281664307,-0.0044393554232272,0,Number of distinct home phones
trv10__tu,0.6891654646889576,0.6985319218061488,0.7028798281664307,-0.0043479063602819,0,Number of months non-mortgage balance decreases last 12 months
