feature,suffix,feature_name,Description
pb12s,__tu,pb12s__tu,Number of open premium credit card trades verified in past 12 months
pb20s,__tu,pb20s__tu,Months since oldest premium credit card trade opened
pb21s,__tu,pb21s__tu,Months since most recent premium credit card trade opened
pb24s,__tu,pb24s__tu,Number of currently open and satisfactory premium credit card trades 6 months or older
pb25s,__tu,pb25s__tu,Number of currently open and satisfactory premium credit card trades 12 months or older
pb27s,__tu,pb27s__tu,Number of currently open and satisfactory premium credit card trades 24 months or older
pb28s,__tu,pb28s__tu,Total credit line of open premium credit card trades verified in past 12 months
pb29s,__tu,pb29s__tu,Number of open premium credit card trades with balance > $0 verified in past 12 months
pb30s,__tu,pb30s__tu,Percentage of open premium credit card trades > 50% of credit line verified in past 12 months
pb31s,__tu,pb31s__tu,Percentage of open premium credit card trades > 75% of credit line verified in past 12 months
pb32s,__tu,pb32s__tu,Maximum balance owed on open premium redit card trades verified in past 12 months
pb33s,__tu,pb33s__tu,Total balance of open premium credit card trades verified in past 12 months
pb34s,__tu,pb34s__tu,Utilization for open premium credit card trades verified in past 12 months
pb35s,__tu,pb35s__tu,Average balance of open premium credit card trades verified in past 12 months
pb36s,__tu,pb36s__tu,Months since most recent premium credit card delinquency
pb57s,__tu,pb57s__tu,Total past due amount of open premium credit card trades verified in past 12 months
pb101s,__tu,pb101s__tu,Total balance of all premium credit card trades verified in past 12 months
re01s,__tu,re01s__tu,Number of revolving trades
re02s,__tu,re02s__tu,Number of open revolving trades
re03s,__tu,re03s__tu,Number of currently satisfactory open revolving trades
re06s,__tu,re06s__tu,Number of revolving trades opened in past 6 months
re09s,__tu,re09s__tu,Number of revolving trades opened in past 24 months
re12s,__tu,re12s__tu,Number of open revolving trades verified in past 12 months
re20s,__tu,re20s__tu,Months since oldest revolving trade opened
re21s,__tu,re21s__tu,Months since most recent revolving trade opened
re24s,__tu,re24s__tu,Number of currently open and satisfactory revolving trades 6 months or older
re25s,__tu,re25s__tu,Number of currently open and satisfactory revolving trades 12 months or older
re27s,__tu,re27s__tu,Number of currently open and satisfactory revolving trades 24 months or older
re28s,__tu,re28s__tu,Total credit line of open revolving trades verified in past 12 months
re29s,__tu,re29s__tu,Number of open revolving trades with balance > $0 verified in past 12 months
re30s,__tu,re30s__tu,Percentage of open revolving trades > 50% of credit line verified in past 12 months
re31s,__tu,re31s__tu,Percentage of open revolving trades > 75% of credit line verified in past 12 months
re32s,__tu,re32s__tu,Maximum balance owed on open revolving trades verified in past 12 months
re33s,__tu,re33s__tu,Total balance of open revolving trades verified in past 12 months
re34s,__tu,re34s__tu,Utilization for open revolving trades verified in past 12 months
re35s,__tu,re35s__tu,Average balance of open revolving trades verified in past 12 months
re36s,__tu,re36s__tu,Months since most recent revolving delinquency
re57s,__tu,re57s__tu,Total past due amount of open revolving trades verified in past 12 months
re101s,__tu,re101s__tu,Total balance of all revolving trades verified in past 12 months
re102s,__tu,re102s__tu,Average credit line of open revolving trades verified in past 12 months
rp01s,__tu,rp01s__tu,Number of repossession trades
rp02s,__tu,rp02s__tu,Number of repossession trades in past 12 months
rp03s,__tu,rp03s__tu,Number of repossession trades in past 24 months
rp04s,__tu,rp04s__tu,Months since most recent repossession trade reported
rp05s,__tu,rp05s__tu,Total balance of repossession trades
rp06s,__tu,rp06s__tu,Total balance of repossession trades in past 12 months
rp07s,__tu,rp07s__tu,Total balance of repossession trades in past 24 months
rp08s,__tu,rp08s__tu,Number of paid/redeemed repossession trades
rt01s,__tu,rt01s__tu,Number of retail trades
rt02s,__tu,rt02s__tu,Number of open retail trades
rt03s,__tu,rt03s__tu,Number of currently satisfactory open retail trades
rt06s,__tu,rt06s__tu,Number of retail trades opened in past 6 months
rt09s,__tu,rt09s__tu,Number of retail trades opened in past 24 months
rt12s,__tu,rt12s__tu,Number of open retail trades verified in past 12 months
rt20s,__tu,rt20s__tu,Months since oldest retail trade opened
rt21s,__tu,rt21s__tu,Months since most recent retail trade opened
rt24s,__tu,rt24s__tu,Number of currently open and satisfactory retail trades 6 months or older
rt25s,__tu,rt25s__tu,Number of currently open and satisfactory retail trades 12 months or older
rt27s,__tu,rt27s__tu,Number of currently open and satisfactory retail trades 24 months or older
rt28s,__tu,rt28s__tu,Total credit line of open retail trades verified in past 12 months
rt29s,__tu,rt29s__tu,Number of open retail trades with balance > $0 verified in past 12 months
rt30s,__tu,rt30s__tu,Percentage of open retail trades > 50% of credit line verified in past 12 months
rt31s,__tu,rt31s__tu,Percentage of open retail trades > 75% of credit line verified in past 12 months
rt32s,__tu,rt32s__tu,Maximum balance owed on open retail trades verified in past 12 months
rt33s,__tu,rt33s__tu,Total balance of open retail trades verified in past 12 months
rt34s,__tu,rt34s__tu,Utilization for open retail trades verified in past 12 months
rt35s,__tu,rt35s__tu,Average balance of open retail trades verified in past 12 months
rt36s,__tu,rt36s__tu,Months since most recent retail delinquency
rt57s,__tu,rt57s__tu,Total past due amount of open retail trades verified in past 12 months
rt101s,__tu,rt101s__tu,Total balance of all retail trades verified in past 12 months
rt201s,__tu,rt201s__tu,Highest balance of retail trades
s004s,__tu,s004s__tu,Average number of months trades have been on file
s043s,__tu,s043s__tu,Number of open trades > 50% of credit line verified in past 12 months (excluding installments and mortgages)
s061s,__tu,s061s__tu,Months since most recent 60 or more days past due
s062s,__tu,s062s__tu,Months since most recent 90 or more days past due
s064a,__tu,s064a__tu,Total placement amount of third party collections
s064b,__tu,s064b__tu,Total placement amount of non-medical third party collections
s068a,__tu,s068a__tu,Number of third party collections
s068b,__tu,s068b__tu,Number of non-medical third party collections
s071a,__tu,s071a__tu,Number of third party collections opened in past 36 months
s071b,__tu,s071b__tu,Number of non-medical third party collections opened in past 36 months
s073a,__tu,s073a__tu,Number of third party collections with balance > $100
s073b,__tu,s073b__tu,Number of non-medical third party collections with balance > $100
s114s,__tu,s114s__tu,Number of deduped inquiries in past 6 months (excluding auto and mortgage inquiries)
st01s,__tu,st01s__tu,Number of student loan trades
st02s,__tu,st02s__tu,Number of open student loan trades
st03s,__tu,st03s__tu,Number of currently satisfactory open student loan trades
st05s,__tu,st05s__tu,Number of open co-borrower student loan trades
st06s,__tu,st06s__tu,Number of student loan trades opened in past 6 months
st09s,__tu,st09s__tu,Number of student loan trades opened in past 24 months
st12s,__tu,st12s__tu,Number of open student loan trades verified in past 12 months
st20s,__tu,st20s__tu,Months since oldest student loan trade opened
st21s,__tu,st21s__tu,Months since most recent student loan trade opened
st24s,__tu,st24s__tu,Number of currently open and satisfactory student loan trades 6 months or older
st25s,__tu,st25s__tu,Number of currently open and satisfactory student loan trades 12 months or older
st27s,__tu,st27s__tu,Number of currently open and satisfactory student loan trades 24 months or older
st28s,__tu,st28s__tu,Total credit line of open student loan trades verified in past 12 months
st29s,__tu,st29s__tu,Number of open student loan trades with balance > $0 verified in past 12 months
st30s,__tu,st30s__tu,Percentage of open student loan trades > 50% of credit line verified in past 12 months
st31s,__tu,st31s__tu,Percentage of open student loan trades > 75% of credit line verified in past 12 months
st32s,__tu,st32s__tu,Maximum balance owed on open student loan trades verified in past 12 months
st33s,__tu,st33s__tu,Total balance of open student loan trades verified in past 12 months
st34s,__tu,st34s__tu,Utilization for open student loan trades verified in past 12 months
st35s,__tu,st35s__tu,Average balance of open student loan trades verified in past 12 months
st36s,__tu,st36s__tu,Months since most recent student loan delinquency
st45s,__tu,st45s__tu,Months since oldest student loan in repayment trade opened
st50s,__tu,st50s__tu,Number of 90 or more days past due ratings on student loan trades
st57s,__tu,st57s__tu,Total past due amount of open student loan trades verified in past 12 months
st60s,__tu,st60s__tu,Only trade(s) is student loan(s)
st99s,__tu,st99s__tu,Total balance of all student loan trades ever delinquent
st101s,__tu,st101s__tu,Total balance of all student loan trades verified in past 12 months
atap01,__tu,atap01__tu,Total scheduled monthly payment for all trades verified in past 12 months
hiap01,__tu,hiap01__tu,Total scheduled monthly payment for open home equity loan trades verified in past 12 months
hrap01,__tu,hrap01__tu,Total scheduled monthly payment for all home equity line of credit trades verified in past 12 months
inap01,__tu,inap01__tu,Total scheduled monthly payment for open installment trades verified in past 12 months
mtap01,__tu,mtap01__tu,Total scheduled monthly payment for open mortgage trades verified in past 12 months
reap01,__tu,reap01__tu,Total scheduled monthly payment for all revolving trades verified in past 12 months
s063s,__tu,s063s__tu,Total public record amount reported in past 12 months
s063a,__tu,s063a__tu,Total public record amount
s208s,__tu,s208s__tu,Number of tax liens
s207s,__tu,s207s__tu,Months since most recent public record bankruptcy
s207a,__tu,s207a__tu,Months since most recent tradeline bankruptcy
g106s,__tu,g106s__tu,Months on file
g099a,__tu,g099a__tu,Number of tradeline bankruptcies verified in past 24 months
s209s,__tu,s209s__tu,Months since most recent third party collection
s209a,__tu,s209a__tu,Months since most recent non-medical third party collection
s204s,__tu,s204s__tu,Total balance of third party collections verified in past 12 months
s204a,__tu,s204a__tu,Total balance of non-medical third party collections verified in past 12 months
g242s,__tu,g242s__tu,Number of inquiries (includes duplicates) in past 3 months
g242f,__tu,g242f__tu,Number of finance inquiries (includes duplicates) in past 3 months
g243f,__tu,g243f__tu,Number of finance inquiries (includes duplicates) in past 6 months
g244f,__tu,g244f__tu,Number of finance inquiries (includes duplicates) in past 12 months
g242b,__tu,g242b__tu,Number of bank inquiries (includes duplicates) in past 3 months
g243b,__tu,g243b__tu,Number of bank inquiries (includes duplicates) in past 6 months
g244b,__tu,g244b__tu,Number of bank inquiries (includes duplicates) in past 12 months
st102s,__tu,st102s__tu,Number of student loans in repayment
st103s,__tu,st103s__tu,Number of student loans in deferment
at01a,__tu,at01a__tu,Number of authorized user trades
us01s,__tu,us01s__tu,Number of unsecured installment trades
us02s,__tu,us02s__tu,Number of open unsecured installment trades
us03s,__tu,us03s__tu,Number of currently satisfactory open unsecured installment trades
us06s,__tu,us06s__tu,Number of unsecured installment trades opened in past 6 months
us09s,__tu,us09s__tu,Number of unsecured installment trades opened in past 24 months
us12s,__tu,us12s__tu,Number of open unsecured installment trades verified in past 12 months
us20s,__tu,us20s__tu,Months since oldest unsecured installment trade opened
us21s,__tu,us21s__tu,Months since most recent unsecured installment trade opened
us24s,__tu,us24s__tu,Number of currently open and satisfactory unsecured installment trades 6 months or older
us25s,__tu,us25s__tu,Number of currently open and satisfactory unsecured installment trades 12 months or older
us27s,__tu,us27s__tu,Number of currently open and satisfactory unsecured installment trades 24 months or older
us28s,__tu,us28s__tu,Total credit line of open unsecured installment trades verified in past 12 months
us29s,__tu,us29s__tu,Number of open unsecured installment trades with balance > $0 verified in past 12 months
us30s,__tu,us30s__tu,Percentage of open unsecured installment trades > 50% of credit line verified in past 12 months
us31s,__tu,us31s__tu,Percentage of open unsecured installment trades > 75% of credit line verified in past 12 months
us32s,__tu,us32s__tu,Maximum balance owed on open unsecured installment trades verified in past 12 months
us33s,__tu,us33s__tu,Total balance of open unsecured installment trades verified in past 12 months
us34s,__tu,us34s__tu,Utilization for open unsecured installment trades verified in past 12 months
us35s,__tu,us35s__tu,Average balance of open unsecured installment trades verified in past 12 months
us36s,__tu,us36s__tu,Months since most recent unsecured installment delinquency
us57s,__tu,us57s__tu,Total past due amount of open unsecured installment trades verified in past 12 months
us101s,__tu,us101s__tu,Total balance of all unsecured installment trades verified in past 12 months (BKAGBAL)
se01s,__tu,se01s__tu,Number of secured installment trades
se02s,__tu,se02s__tu,Number of open secured installment trades
se03s,__tu,se03s__tu,Number of currently satisfactory open secured installment trades
se06s,__tu,se06s__tu,Number of secured installment trades opened in past 6 months
se09s,__tu,se09s__tu,Number of secured installment trades opened in past 24 months
se12s,__tu,se12s__tu,Number of open secured installment trades verified in past 12 months
se20s,__tu,se20s__tu,Months since oldest secured installment trade opened
se21s,__tu,se21s__tu,Months since most recent secured installment trade opened
se24s,__tu,se24s__tu,Number of currently open and satisfactory secured installment trades 6 months or older
se25s,__tu,se25s__tu,Number of currently open and satisfactory secured installment trades 12 months or older
se27s,__tu,se27s__tu,Number of currently open and satisfactory secured installment trades 24 months or older
se28s,__tu,se28s__tu,Total credit line of open secured installment trades verified in past 12 months
se29s,__tu,se29s__tu,Number of open secured installment trades with balance > $0 verified in past 12 months
se30s,__tu,se30s__tu,Percentage of open secured installment trades > 50% of credit line verified in past 12 months
se31s,__tu,se31s__tu,Percentage of open secured installment trades > 75% of credit line verified in past 12 months
se32s,__tu,se32s__tu,Maximum balance owed on open secured installment trades verified in past 12 months
se33s,__tu,se33s__tu,Total balance of open secured installment trades verified in past 12 months
se34s,__tu,se34s__tu,Utilization for open secured installment trades verified in past 12 months
se35s,__tu,se35s__tu,Average balance of open secured installment trades verified in past 12 months
se36s,__tu,se36s__tu,Months since most recent secured installment delinquency
se57s,__tu,se57s__tu,Total past due amount of open secured installment trades verified in past 12 months
se101s,__tu,se101s__tu,Total balance of all secured installment trades verified in past 12 months (BKAGBAL)
jt01s,__tu,jt01s__tu,Number of joint trades
jt02s,__tu,jt02s__tu,Number of open joint trades
jt03s,__tu,jt03s__tu,Number of open joint trades currently satisfactory
jt20s,__tu,jt20s__tu,Months since oldest joint trade opened
jt21s,__tu,jt21s__tu,Months since most recent joint trade opened
jt28s,__tu,jt28s__tu,Total credit line of open joint trade verified in the past 12 months
jt33s,__tu,jt33s__tu,Total balance of joint trades in the last 12 months
jt34s,__tu,jt34s__tu,Utilization of open joint trades verified in past 12 months
jt40s,__tu,jt40s__tu,Number of joint revolving trades
jt41s,__tu,jt41s__tu,Number of joint installment or joint mortgage trades
jt42s,__tu,jt42s__tu,Ratio of open joint trades to open trades
jt44s,__tu,jt44s__tu,Total past due amount of joint trades
jt51s,__tu,jt51s__tu,Months since most recent 30+ days past due on a joint trade
jt53s,__tu,jt53s__tu,Number of joint trades in collections or 3rd party non-medical collections with balance > $0 in past 24 months
jt70s,__tu,jt70s__tu,Ratio of dollars past due joint trades to total dollars past due trades
jt75s,__tu,jt75s__tu,Number of joint trades 30 days past due or worse in the last 12 months
jt80s,__tu,jt80s__tu,Number of non-Mortgage and non-Auto joint trades with greater than 75% utilization
au200s,__tu,au200s__tu,Number of auto trades that are 30 days or more past due ever
au201s,__tu,au201s__tu,Number of auto trades that are 30 days or more past due in the past 12 months
au202s,__tu,au202s__tu,Number of auto trades that are 60 days or more past due ever
au203s,__tu,au203s__tu,Number of auto trades that are 60 days or more past due in the past 12 months
au204s,__tu,au204s__tu,Number of auto trades that are 90 days or more past due ever
au205s,__tu,au205s__tu,Number of auto trades that are 90 days or more past due in the past 12 months
au206s,__tu,au206s__tu,Number of auto repossession trades
au207s,__tu,au207s__tu,Number of auto charged-off trades
g400s,__tu,g400s__tu,Number of deduped mortgage inquiries in past 3 months
g401s,__tu,g401s__tu,Number of deduped mortgage inquiries in past 6 months
g402s,__tu,g402s__tu,Number of deduped mortgage inquiries in past 12 months
g403s,__tu,g403s__tu,Number of deduped mortgage inquiries
g404s,__tu,g404s__tu,Number of deduped finance inquiries in past 3 months
g405s,__tu,g405s__tu,Number of deduped finance inquiries in past 6 months
g406s,__tu,g406s__tu,Number of deduped finance inquiries in past 12 months
g407s,__tu,g407s__tu,Number of deduped finance inquiries
g408s,__tu,g408s__tu,Number of deduped bank inquiries in past 3 months
g409s,__tu,g409s__tu,Number of deduped bank inquiries in past 6 months
g410s,__tu,g410s__tu,Number of deduped bank inquiries in past 12 months
g411s,__tu,g411s__tu,Number of deduped bank inquiries
g412s,__tu,g412s__tu,Number of deduped auto inquiries in past 3 months
g413s,__tu,g413s__tu,Number of deduped auto inquiries in past 6 months
g414s,__tu,g414s__tu,Number of deduped auto inquiries in past 12 months
g415s,__tu,g415s__tu,Number of deduped auto inquiries
g416s,__tu,g416s__tu,Months since most recent finance inquiry
g417s,__tu,g417s__tu,Months since most recent bank inquiry
g418s,__tu,g418s__tu,Months since most recent auto inquiry
us51a,__tu,us51a__tu,Terms in months of most recent unsecured installment trade
hrap02,__tu,hrap02__tu,Total scheduled monthly payment for open home equity line of credit trades verified in past 12 months
reap02,__tu,reap02__tu,Total scheduled monthly payment for all revolving and open heloc trades verified in past 12 months
g199b,__tu,g199b__tu,Total monthly obligation for contractually liable accounts verified in past 12 months and current balance > 0
g200b,__tu,g200b__tu,Percentage of contractually liable debt for trades with a current balance > 0
g205b,__tu,g205b__tu,Total monthly obligation for individual account verified in past 12 months and with a current balance > 0
g206b,__tu,g206b__tu,Total monthly obligation for joint account verified in past 12 months and with a current balance > 0  (ATTR14)
g207b,__tu,g207b__tu,Total monthly obligation for all accounts with a current balance > 0 (ATTR16)
g208b,__tu,g208b__tu,Percentage of individual debt for trades with a current balance > 0 (ATTR17)
cvau,__tu,cvau__tu,CreditVision Auto Score
cvam,__tu,cvam__tu,CreditVision Account Management Score
cvbk,__tu,cvbk__tu,CreditVision Bankruptcy Score
cvna,__tu,cvna__tu,CreditVision New Account Score
cvpl,__tu,cvpl__tu,Personal Loan Risk Score
cv_bc_prop,__tu,cv_bc_prop__tu,CreditVision Bankcard Propensity Score
cv_cons_prop,__tu,cv_cons_prop__tu,CV Consolidation Propensity Score
cv_persloan_prop,__tu,cv_persloan_prop__tu,CreditVision Personal Loan Propensity Score
syntheticfraud_score,__tu,syntheticfraud_score__tu,Synthetic ID Score - Value of the likelihood of a consumer being a synthetic identity
vantagescore3,__tu,vantagescore3__tu,Vantage Score 3.0
vantagescore4,__tu,vantagescore4__tu,Final Score
credit_as_of_date,__tu,credit_as_of_date__tu,Credit as of date
trd,__tu,trd__tu,Number of trades
bc_trd,__tu,bc_trd__tu,Number of bankcard trades
inst_trd,__tu,inst_trd__tu,Number of installment trades
nomt_trd,__tu,nomt_trd__tu,Number of non-mortgage trades
rev_trd,__tu,rev_trd__tu,Number of revolving trades
rtl_trd,__tu,rtl_trd__tu,Number of retail trades
agg101,__tu,agg101__tu,Aggregate non-mortgage balances for month 1
agg102,__tu,agg102__tu,Aggregate non-mortgage balances for month 2
agg103,__tu,agg103__tu,Aggregate non-mortgage balances for month 3
agg104,__tu,agg104__tu,Aggregate non-mortgage balances for month 4
agg105,__tu,agg105__tu,Aggregate non-mortgage balances for month 5
agg106,__tu,agg106__tu,Aggregate non-mortgage balances for month 6
agg107,__tu,agg107__tu,Aggregate non-mortgage balances for month 7
agg108,__tu,agg108__tu,Aggregate non-mortgage balances for month 8
agg109,__tu,agg109__tu,Aggregate non-mortgage balances for month 9
agg110,__tu,agg110__tu,Aggregate non-mortgage balances for month 10
agg111,__tu,agg111__tu,Aggregate non-mortgage balances for month 11
agg112,__tu,agg112__tu,Aggregate non-mortgage balances for month 12
agg113,__tu,agg113__tu,Aggregate non-mortgage balances for month 13
agg114,__tu,agg114__tu,Aggregate non-mortgage balances for month 14
agg115,__tu,agg115__tu,Aggregate non-mortgage balances for month 15
agg116,__tu,agg116__tu,Aggregate non-mortgage balances for month 16
agg117,__tu,agg117__tu,Aggregate non-mortgage balances for month 17
agg118,__tu,agg118__tu,Aggregate non-mortgage balances for month 18
agg119,__tu,agg119__tu,Aggregate non-mortgage balances for month 19
agg120,__tu,agg120__tu,Aggregate non-mortgage balances for month 20
agg121,__tu,agg121__tu,Aggregate non-mortgage balances for month 21
agg122,__tu,agg122__tu,Aggregate non-mortgage balances for month 22
agg123,__tu,agg123__tu,Aggregate non-mortgage balances for month 23
agg124,__tu,agg124__tu,Aggregate non-mortgage balances for month 24
agg201,__tu,agg201__tu,Aggregate non-mortgage credit line for month 1
agg202,__tu,agg202__tu,Aggregate non-mortgage credit line for month 2
agg203,__tu,agg203__tu,Aggregate non-mortgage credit line for month 3
agg204,__tu,agg204__tu,Aggregate non-mortgage credit line for month 4
agg205,__tu,agg205__tu,Aggregate non-mortgage credit line for month 5
agg206,__tu,agg206__tu,Aggregate non-mortgage credit line for month 6
agg207,__tu,agg207__tu,Aggregate non-mortgage credit line for month 7
agg208,__tu,agg208__tu,Aggregate non-mortgage credit line for month 8
agg209,__tu,agg209__tu,Aggregate non-mortgage credit line for month 9
agg210,__tu,agg210__tu,Aggregate non-mortgage credit line for month 10
agg211,__tu,agg211__tu,Aggregate non-mortgage credit line for month 11
agg212,__tu,agg212__tu,Aggregate non-mortgage credit line for month 12
agg213,__tu,agg213__tu,Aggregate non-mortgage credit line for month 13
agg214,__tu,agg214__tu,Aggregate non-mortgage credit line for month 14
agg215,__tu,agg215__tu,Aggregate non-mortgage credit line for month 15
agg216,__tu,agg216__tu,Aggregate non-mortgage credit line for month 16
agg217,__tu,agg217__tu,Aggregate non-mortgage credit line for month 17
agg218,__tu,agg218__tu,Aggregate non-mortgage credit line for month 18
agg219,__tu,agg219__tu,Aggregate non-mortgage credit line for month 19
agg220,__tu,agg220__tu,Aggregate non-mortgage credit line for month 20
agg221,__tu,agg221__tu,Aggregate non-mortgage credit line for month 21
agg222,__tu,agg222__tu,Aggregate non-mortgage credit line for month 22
agg223,__tu,agg223__tu,Aggregate non-mortgage credit line for month 23
agg224,__tu,agg224__tu,Aggregate non-mortgage credit line for month 24
agg301,__tu,agg301__tu,Aggregate non-mortgage amount past due for month 1
agg302,__tu,agg302__tu,Aggregate non-mortgage amount past due for month 2
agg303,__tu,agg303__tu,Aggregate non-mortgage amount past due for month 3
agg304,__tu,agg304__tu,Aggregate non-mortgage amount past due for month 4
agg305,__tu,agg305__tu,Aggregate non-mortgage amount past due for month 5
agg306,__tu,agg306__tu,Aggregate non-mortgage amount past due for month 6
agg307,__tu,agg307__tu,Aggregate non-mortgage amount past due for month 7
agg308,__tu,agg308__tu,Aggregate non-mortgage amount past due for month 8
agg309,__tu,agg309__tu,Aggregate non-mortgage amount past due for month 9
agg310,__tu,agg310__tu,Aggregate non-mortgage amount past due for month 10
agg311,__tu,agg311__tu,Aggregate non-mortgage amount past due for month 11
agg312,__tu,agg312__tu,Aggregate non-mortgage amount past due for month 12
agg313,__tu,agg313__tu,Aggregate non-mortgage amount past due for month 13
agg314,__tu,agg314__tu,Aggregate non-mortgage amount past due for month 14
agg315,__tu,agg315__tu,Aggregate non-mortgage amount past due for month 15
agg316,__tu,agg316__tu,Aggregate non-mortgage amount past due for month 16
agg317,__tu,agg317__tu,Aggregate non-mortgage amount past due for month 17
agg318,__tu,agg318__tu,Aggregate non-mortgage amount past due for month 18
agg319,__tu,agg319__tu,Aggregate non-mortgage amount past due for month 19
agg320,__tu,agg320__tu,Aggregate non-mortgage amount past due for month 20
agg321,__tu,agg321__tu,Aggregate non-mortgage amount past due for month 21
agg322,__tu,agg322__tu,Aggregate non-mortgage amount past due for month 22
agg323,__tu,agg323__tu,Aggregate non-mortgage amount past due for month 23
agg324,__tu,agg324__tu,Aggregate non-mortgage amount past due for month 24
agg401,__tu,agg401__tu,Aggregate non-mortgage actual payment for month 1
agg402,__tu,agg402__tu,Aggregate non-mortgage actual payment for month 2
agg403,__tu,agg403__tu,Aggregate non-mortgage actual payment for month 3
agg404,__tu,agg404__tu,Aggregate non-mortgage actual payment for month 4
agg405,__tu,agg405__tu,Aggregate non-mortgage actual payment for month 5
agg406,__tu,agg406__tu,Aggregate non-mortgage actual payment for month 6
agg407,__tu,agg407__tu,Aggregate non-mortgage actual payment for month 7
agg408,__tu,agg408__tu,Aggregate non-mortgage actual payment for month 8
agg409,__tu,agg409__tu,Aggregate non-mortgage actual payment for month 9
agg410,__tu,agg410__tu,Aggregate non-mortgage actual payment for month 10
agg411,__tu,agg411__tu,Aggregate non-mortgage actual payment for month 11
agg412,__tu,agg412__tu,Aggregate non-mortgage actual payment for month 12
agg413,__tu,agg413__tu,Aggregate non-mortgage actual payment for month 13
agg414,__tu,agg414__tu,Aggregate non-mortgage actual payment for month 14
agg415,__tu,agg415__tu,Aggregate non-mortgage actual payment for month 15
agg416,__tu,agg416__tu,Aggregate non-mortgage actual payment for month 16
agg417,__tu,agg417__tu,Aggregate non-mortgage actual payment for month 17
agg418,__tu,agg418__tu,Aggregate non-mortgage actual payment for month 18
agg419,__tu,agg419__tu,Aggregate non-mortgage actual payment for month 19
agg420,__tu,agg420__tu,Aggregate non-mortgage actual payment for month 20
agg421,__tu,agg421__tu,Aggregate non-mortgage actual payment for month 21
agg422,__tu,agg422__tu,Aggregate non-mortgage actual payment for month 22
agg423,__tu,agg423__tu,Aggregate non-mortgage actual payment for month 23
agg424,__tu,agg424__tu,Aggregate non-mortgage actual payment for month 24
agg501,__tu,agg501__tu,Aggregate bankcard balances for month 1
agg502,__tu,agg502__tu,Aggregate bankcard balances for month 2
agg503,__tu,agg503__tu,Aggregate bankcard balances for month 3
agg504,__tu,agg504__tu,Aggregate bankcard balances for month 4
agg505,__tu,agg505__tu,Aggregate bankcard balances for month 5
agg506,__tu,agg506__tu,Aggregate bankcard balances for month 6
agg507,__tu,agg507__tu,Aggregate bankcard balances for month 7
agg508,__tu,agg508__tu,Aggregate bankcard balances for month 8
agg509,__tu,agg509__tu,Aggregate bankcard balances for month 9
agg510,__tu,agg510__tu,Aggregate bankcard balances for month 10
agg511,__tu,agg511__tu,Aggregate bankcard balances for month 11
agg512,__tu,agg512__tu,Aggregate bankcard balances for month 12
agg513,__tu,agg513__tu,Aggregate bankcard balances for month 13
agg514,__tu,agg514__tu,Aggregate bankcard balances for month 14
agg515,__tu,agg515__tu,Aggregate bankcard balances for month 15
agg516,__tu,agg516__tu,Aggregate bankcard balances for month 16
agg517,__tu,agg517__tu,Aggregate bankcard balances for month 17
agg518,__tu,agg518__tu,Aggregate bankcard balances for month 18
agg519,__tu,agg519__tu,Aggregate bankcard balances for month 19
agg520,__tu,agg520__tu,Aggregate bankcard balances for month 20
agg521,__tu,agg521__tu,Aggregate bankcard balances for month 21
agg522,__tu,agg522__tu,Aggregate bankcard balances for month 22
agg523,__tu,agg523__tu,Aggregate bankcard balances for month 23
agg524,__tu,agg524__tu,Aggregate bankcard balances for month 24
agg601,__tu,agg601__tu,Aggregate bankcard credit line for month 1
agg602,__tu,agg602__tu,Aggregate bankcard credit line for month 2
agg603,__tu,agg603__tu,Aggregate bankcard credit line for month 3
agg604,__tu,agg604__tu,Aggregate bankcard credit line for month 4
agg605,__tu,agg605__tu,Aggregate bankcard credit line for month 5
agg606,__tu,agg606__tu,Aggregate bankcard credit line for month 6
agg607,__tu,agg607__tu,Aggregate bankcard credit line for month 7
agg608,__tu,agg608__tu,Aggregate bankcard credit line for month 8
agg609,__tu,agg609__tu,Aggregate bankcard credit line for month 9
agg610,__tu,agg610__tu,Aggregate bankcard credit line for month 10
agg611,__tu,agg611__tu,Aggregate bankcard credit line for month 11
agg612,__tu,agg612__tu,Aggregate bankcard credit line for month 12
agg613,__tu,agg613__tu,Aggregate bankcard credit line for month 13
agg614,__tu,agg614__tu,Aggregate bankcard credit line for month 14
agg615,__tu,agg615__tu,Aggregate bankcard credit line for month 15
agg616,__tu,agg616__tu,Aggregate bankcard credit line for month 16
agg617,__tu,agg617__tu,Aggregate bankcard credit line for month 17
agg618,__tu,agg618__tu,Aggregate bankcard credit line for month 18
agg619,__tu,agg619__tu,Aggregate bankcard credit line for month 19
agg620,__tu,agg620__tu,Aggregate bankcard credit line for month 20
agg621,__tu,agg621__tu,Aggregate bankcard credit line for month 21
agg622,__tu,agg622__tu,Aggregate bankcard credit line for month 22
agg623,__tu,agg623__tu,Aggregate bankcard credit line for month 23
agg624,__tu,agg624__tu,Aggregate bankcard credit line for month 24
agg701,__tu,agg701__tu,Aggregate bankcard amount past due for month 1
agg702,__tu,agg702__tu,Aggregate bankcard amount past due for month 2
agg703,__tu,agg703__tu,Aggregate bankcard amount past due for month 3
agg704,__tu,agg704__tu,Aggregate bankcard amount past due for month 4
agg705,__tu,agg705__tu,Aggregate bankcard amount past due for month 5
agg706,__tu,agg706__tu,Aggregate bankcard amount past due for month 6
agg707,__tu,agg707__tu,Aggregate bankcard amount past due for month 7
agg708,__tu,agg708__tu,Aggregate bankcard amount past due for month 8
