feature,importance,importance_abs,description
ENG-bk_binned,-0.03341925971812336,0.03341925971812336,
rtl_trd__tu_binned,-0.025058156752335237,0.025058156752335237,Number of retail trades
g095s__tu_binned,-0.023672604399506133,0.023672604399506133,Months since most recent public record
trv01__tu_binned,-0.020763988023354347,0.020763988023354347,Number of months since overlimit on a bankcard
all235__tu_binned,-0.013892023871212333,0.013892023871212333,Aggregate Excess Payment for All accounts over the past 24 months
balmag01__tu_binned,-0.011679969872490401,0.011679969872490401,Non-mortgage balance magnitude algorithm over last 24 months
cv15__tu_binned,-0.010889318163353517,0.010889318163353517,Number of deduped auto inquiries
rev322__tu_binned,-0.01079911971448924,0.01079911971448924,Min Total Open-to-Buy for Revolving accounts over the past 6 months
derogseverityindex__ln_binned,-0.010164820338897205,0.010164820338897205,Index indicating severity of derogatory records on subject's file
g251c__tu_binned,0.009692086521412844,0.009692086521412844,Number of 60 days past due or worse items in the past 24 months (excluding medical collection items)
au20s__tu_binned,-0.009171679729766116,0.009171679729766116,Months since oldest auto trade opened
ENG-wtd_avg_binned,-0.008627562901926348,0.008627562901926348,
cv13__tu_binned,-0.007310165438853201,0.007310165438853201,Percentage of trades ever delinquent
g232s__tu_binned,-0.006585082883063605,0.006585082883063605,Number of inquiries (includes duplicates)
addrprevioustimenewest__ln_binned,-0.0060021923021703946,0.0060021923021703946,Time (in months) since the subject was most recently reported at the most previous address on subject's file
subjectabilityindex__ln_binned,-0.005823097430754822,0.005823097430754822,"Modeled risk index indicating the subject's ability to fulfill a credit obligation on the basis of their time on file, post-secondary education history, asset ownership, and outstanding financial obligations on file"
addronfilecount__ln_binned,-0.005036471387103669,0.005036471387103669,Total number of addresses found on file in subject's address history
inquiryshortterm12month__ln_binned,-0.004634527349253338,0.004634527349253338,Indicates subject has one or more LexisNexis personal finance credit inquiries on file in the last 12 months (multiple personal finance inquiries within a 24-hour period are counted as one inquiry)
fltgrossmonthly__income_sum_binned,-0.004032798595068057,0.004032798595068057,
inquirynonshortterm12month__ln_binned,-0.003962373212875178,0.003962373212875178,"Indicates subject has one or more LexisNexis credit inquiries on file in the last 12 months, excluding personal finance credit and collection inquiries
NOTE: This attribute indicates the subject has any LexisNexis credit inquiry on file, excluding any short-term or collection inquiries. This will include auto, banking, and telecom inquiries returned in other attributes as well as other credit-related inquiries not categorically classified in the attributes."
jt20s__tu_binned,-0.003737662371291725,0.003737662371291725,Months since oldest joint trade opened
s209a__tu_binned,0.003617523356091179,0.003617523356091179,Months since most recent non-medical third party collection
linkt003__tu_binned,-0.0035369590255312344,0.0035369590255312344,Number of non-military non-corroborated addresses in past 12 months
s068b__tu_binned,0.002996195640189133,0.002996195640189133,Number of non-medical third party collections
g002s__tu_binned,-0.002926220292272952,0.002926220292272952,Number of 60 days past due ratings in past 12 months
rp01s__tu_binned,-0.0027126183009121285,0.0027126183009121285,Number of repossession trades
in21s__tu_binned,0.0026439299516651023,0.0026439299516651023,Months since most recent installment trade opened
ENG-franchise_binned,0.002157043378168913,0.002157043378168913,
inquirybanking12month__ln_binned,-0.002156937292996291,0.002156937292996291,Indicates subject has one or more LexisNexis banking credit inquiries on file in the last 12 months
fi101s__tu_binned,-0.0020820896782438826,0.0020820896782438826,Total balance of all finance installment trades verified in past 12 months
fi25s__tu_binned,-0.0019455625681663014,0.0019455625681663014,Number of currently open and satisfactory finance installment trades 12 months or older
addrinputsubjectcount__ln_binned,-0.0017901489678410782,0.0017901489678410782,"Total number of unique subjects on file currently reported at the input address, if the address has been designated as a single family dwelling unit"
linka053__tu_binned,-0.0014109666355825439,0.0014109666355825439,Number of days since the first (oldest) checking account inquiry
miles_odometer__app_binned,0.0011315701629190807,0.0011315701629190807,
linka006__tu_binned,0.001022639673317627,0.001022639673317627,"Number of total inquiries in the last 3 years.  
These include checking, credit issuance (credit card, secured card, line of credit, revolving credit, and other credit account originations) , auto, payday, utility, and other credit (installment loan, secured loan, short-term installment loan, insurance, and other non-classified credit)"
ENG-loan_to_value_binned,0.0009515154420111009,0.0009515154420111009,
fi36s__tu_binned,-0.000792284301906945,0.000792284301906945,Months since most recent finance installment delinquency
in34s__tu_binned,-0.0007175999357306546,0.0007175999357306546,Utilization for open installment trades verified in past 12 months
g407s__tu_binned,-0.0007038156804417778,0.0007038156804417778,Number of deduped finance inquiries
at24s__tu_binned,-0.0002672717151120506,0.0002672717151120506,Number of currently open and satisfactory trades 6 months or older
linkf098__tu_binned,-0.00011258955925378342,0.00011258955925378342,Number of satisfactory trades
bc97a__tu_binned,-9.873882775246988e-07,9.873882775246988e-07,Total open to buy of open credit cards verified in past 3 months
