feature,importance,importance_abs,description
ENG-bk_binned,-0.02873039081533943,0.02873039081533943,
rtl_trd__tu_binned,-0.02311746279353133,0.02311746279353133,Number of retail trades
g095s__tu_binned,-0.019300359685512993,0.019300359685512993,Months since most recent public record
trv01__tu_binned,-0.018362527964198627,0.018362527964198627,Number of months since overlimit on a bankcard
derogseverityindex__ln_binned,-0.008297600530432932,0.008297600530432932,Index indicating severity of derogatory records on subject's file
rev322__tu_binned,-0.007426079186620649,0.007426079186620649,Min Total Open-to-Buy for Revolving accounts over the past 6 months
g251c__tu_binned,0.007411242682955438,0.007411242682955438,Number of 60 days past due or worse items in the past 24 months (excluding medical collection items)
all235__tu_binned,-0.007138023417428203,0.007138023417428203,Aggregate Excess Payment for All accounts over the past 24 months
subjectabilityindex__ln_binned,-0.006180261764450881,0.006180261764450881,"Modeled risk index indicating the subject's ability to fulfill a credit obligation on the basis of their time on file, post-secondary education history, asset ownership, and outstanding financial obligations on file"
jt20s__tu_binned,-0.006178077956397914,0.006178077956397914,Months since oldest joint trade opened
addrprevioustimenewest__ln_binned,-0.005789487698257762,0.005789487698257762,Time (in months) since the subject was most recently reported at the most previous address on subject's file
au20s__tu_binned,-0.00554656815692615,0.00554656815692615,Months since oldest auto trade opened
ENG-franchise_binned,0.004897349340226959,0.004897349340226959,
balmag01__tu_binned,-0.004543474952179873,0.004543474952179873,Non-mortgage balance magnitude algorithm over last 24 months
cv15__tu_binned,-0.004436841302013786,0.004436841302013786,Number of deduped auto inquiries
inquiryshortterm12month__ln_binned,-0.00381159715506196,0.00381159715506196,Indicates subject has one or more LexisNexis personal finance credit inquiries on file in the last 12 months (multiple personal finance inquiries within a 24-hour period are counted as one inquiry)
inquirybanking12month__ln_binned,-0.003800902697913939,0.003800902697913939,Indicates subject has one or more LexisNexis banking credit inquiries on file in the last 12 months
g002s__tu_binned,0.00366386110439924,0.00366386110439924,Number of 60 days past due ratings in past 12 months
linkt003__tu_binned,-0.003662434961107428,0.003662434961107428,Number of non-military non-corroborated addresses in past 12 months
ENG-wtd_avg_binned,-0.003648935610076501,0.003648935610076501,
addronfilecount__ln_binned,-0.00320000640641205,0.00320000640641205,Total number of addresses found on file in subject's address history
ENG-loan_to_value_binned,0.003017796691256954,0.003017796691256954,
miles_odometer__app_binned,0.0030012064902614887,0.0030012064902614887,
inquirynonshortterm12month__ln_binned,-0.0029809247489257,0.0029809247489257,"Indicates subject has one or more LexisNexis credit inquiries on file in the last 12 months, excluding personal finance credit and collection inquiries
NOTE: This attribute indicates the subject has any LexisNexis credit inquiry on file, excluding any short-term or collection inquiries. This will include auto, banking, and telecom inquiries returned in other attributes as well as other credit-related inquiries not categorically classified in the attributes."
rp01s__tu_binned,-0.00291963452394618,0.00291963452394618,Number of repossession trades
fltgrossmonthly__income_sum_binned,-0.002605782223941551,0.002605782223941551,
fi36s__tu_binned,0.0021012178572308083,0.0021012178572308083,Months since most recent finance installment delinquency
g232s__tu_binned,-0.0020748393959066588,0.0020748393959066588,Number of inquiries (includes duplicates)
in21s__tu_binned,0.0019857209511868873,0.0019857209511868873,Months since most recent installment trade opened
g407s__tu_binned,0.0018937947536096483,0.0018937947536096483,Number of deduped finance inquiries
addrinputsubjectcount__ln_binned,-0.0016390883734489319,0.0016390883734489319,"Total number of unique subjects on file currently reported at the input address, if the address has been designated as a single family dwelling unit"
fi101s__tu_binned,-0.0016308413502088245,0.0016308413502088245,Total balance of all finance installment trades verified in past 12 months
s068b__tu_binned,0.0014275025363078384,0.0014275025363078384,Number of non-medical third party collections
s209a__tu_binned,0.0012881721865754343,0.0012881721865754343,Months since most recent non-medical third party collection
cv13__tu_binned,-0.0008684117041442811,0.0008684117041442811,Percentage of trades ever delinquent
linka053__tu_binned,-0.0006000660147848796,0.0006000660147848796,Number of days since the first (oldest) checking account inquiry
bc97a__tu_binned,0.0004675051079421152,0.0004675051079421152,Total open to buy of open credit cards verified in past 3 months
linka006__tu_binned,0.00032537337884421317,0.00032537337884421317,"Number of total inquiries in the last 3 years.  
These include checking, credit issuance (credit card, secured card, line of credit, revolving credit, and other credit account originations) , auto, payday, utility, and other credit (installment loan, secured loan, short-term installment loan, insurance, and other non-classified credit)"
sourcenonderogcount12month__ln_binned,0.00020528513476652746,0.00020528513476652746,Total non-derogatory source types on file for subject reported within the last 12 months
in34s__tu_binned,-0.0001939771151270721,0.0001939771151270721,Utilization for open installment trades verified in past 12 months
fi25s__tu_binned,-1.0063866279388001e-05,1.0063866279388001e-05,Number of currently open and satisfactory finance installment trades 12 months or older
